date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:23	123203/123203	---M--	200	added ('OK')	image/jpeg	etag:%221e143-5902ca0c-358ed96765b9be08;;;%22	http://demo.templateocean.com/premium/template/kane/files/images/screenshots/2.jpg	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/files/images/screenshots/2.jpg	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:25	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f42-59023d6e-240337c041a7e0b2;;;%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.eot	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.eot	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/css/bootstrap.min.css)
15:01:25	23292/23292	---M--	200	added ('OK')	font/woff	etag:%225afc-59023d6e-d7e79950962aae20;;;%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.woff	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.woff	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/css/bootstrap.min.css)
15:01:26	62850/62850	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f582-59023d6e-f324e9a9126b3610;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.svg	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.svg	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/css/bootstrap.min.css)
15:01:29	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f42-59023d6e-240337c041a7e0b2;;;%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.eot?	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regulard41d.eot	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/css/bootstrap.min.css)
15:01:30	41236/41236	---M--	200	added ('OK')	font/ttf	etag:%22a114-59023d6e-60a5d61e0a589823;;;%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.ttf	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/fonts/glyphicons-halflings-regular.ttf	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/css/bootstrap.min.css)
15:01:31	142758/142758	---M--	200	added ('OK')	image/jpeg	etag:%2222da6-5902ca0c-cb0d4007fc960ab8;;;%22	http://demo.templateocean.com/premium/template/kane/files/images/screenshots/4.jpg	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/files/images/screenshots/4.jpg	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/index.html)
15:01:33	277297/277297	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243b31-59023d6e-93a76959ec0d331d;gz%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/elegant-icons/fonts/ElegantIcons.svg	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/elegant-icons/fonts/ElegantIcons.svg	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/elegant-icons/style.css)
15:01:36	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e8b4-59023d6e-f618956d2ecbef0b;;;%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/elegant-icons/fonts/ElegantIcons.eot	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/elegant-icons/fonts/ElegantIcons.eot	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/elegant-icons/style.css)
15:01:37	2548/2548	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229f4-59023d6e-a15438a198e61c18;;;%22	http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/app-icons/fonts/app-icons.eot	C:/Users/Zver/Desktop/first_pull/demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/app-icons/fonts/app-icons.eot	(from http://demo.templateocean.com/premium/template/kane/layout-style-one/dark/image-bg/assets/app-icons/styles.css)
